id;name;devices;category;enabled;demo
11289;BlackJack;desktop,mobile;fast;1;1
2014;Crash;desktop,mobile;fast;1;1
5236;Hilo;desktop,mobile;fast;1;1
2010;Keno 10 (1 Minute);desktop,mobile;fast;1;1
15543;Keno 10 (2 Minute);desktop,mobile;fast;1;1
19;Keno 8 (1 Minute);desktop,mobile;fast;1;1
15542;Keno 8 (2 Minute);desktop,mobile;fast;1;1
10512;Keno Express;desktop,mobile;fast;1;1
6492;Penalty;desktop,mobile;fast;1;1
5935;Rocketon;desktop,mobile;fast;1;1
5339;SicBo;desktop,mobile;fast;1;1
20786;Cash Show;desktop,mobile;fast;1;1
