game_name;game_id;game_type;provider;is_enabled;is_demo_supported;is_freespins_supported;is_jackpot_supported;is_live_supported;lines;platform;jurisdictions;images;options
My Awesome Game;my_awesome_game;slot;rgpi;true;true;false;false;false;3;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Some test game;some_test_game;slot;rgpi_test;true;true;false;false;false;3;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game;casino_game;casino;rgpi;true;true;false;false;false;1;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game1;casino_game1;casino;rgpi;true;true;false;false;false;1;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game2;casino_game2;casino;rgpi;true;true;false;false;false;2;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game3;casino_game3;casino;rgpi;true;true;false;false;false;3;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game4;casino_game4;casino;rgpi;true;true;false;false;false;4;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game5;casino_game5;casino;rgpi;true;true;false;false;false;5;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game6;casino_game6;casino;rgpi;true;true;false;false;false;6;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game7;casino_game7;casino;rgpi;true;true;false;false;false;7;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game8;casino_game8;casino;rgpi;true;true;false;false;false;8;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game9;casino_game9;casino;rgpi;true;true;false;false;false;9;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game10;casino_game10;casino;rgpi;true;true;false;false;false;10;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game11;casino_game11;casino;rgpi;true;true;false;false;false;11;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game12;casino_game12;casino;rgpi;true;true;false;false;false;12;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game13;casino_game13;casino;rgpi;true;true;false;false;false;13;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game14;casino_game14;casino;rgpi;true;true;false;false;false;14;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game15;casino_game15;casino;rgpi;true;true;false;false;false;15;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game16;casino_game16;casino;rgpi;true;true;false;false;false;16;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game17;casino_game17;casino;rgpi;true;true;false;false;false;17;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game18;casino_game18;casino;rgpi;true;true;false;false;false;18;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game19;casino_game19;casino;rgpi;true;true;false;false;false;19;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game20;casino_game20;casino;rgpi;true;true;false;false;false;20;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game21;casino_game21;casino;rgpi;true;true;false;false;false;21;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game22;casino_game22;casino;rgpi;true;true;false;false;false;22;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game23;casino_game23;casino;rgpi;true;true;false;false;false;23;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game24;casino_game24;casino;rgpi;true;true;false;false;false;24;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game25;casino_game25;casino;rgpi;true;true;false;false;false;25;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game26;casino_game26;casino;rgpi;true;true;false;false;false;26;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game27;casino_game27;casino;rgpi;true;true;false;false;false;27;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game28;casino_game28;casino;rgpi;true;true;false;false;false;28;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game29;casino_game29;casino;rgpi;true;true;false;false;false;29;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game30;casino_game30;casino;rgpi;true;true;false;false;false;30;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game31;casino_game31;casino;rgpi;true;true;false;false;false;31;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game32;casino_game32;casino;rgpi;true;true;false;false;false;32;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game33;casino_game33;casino;rgpi;true;true;false;false;false;33;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game34;casino_game34;casino;rgpi;true;true;false;false;false;34;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game35;casino_game35;casino;rgpi;true;true;false;false;false;35;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game36;casino_game36;casino;rgpi;true;true;false;false;false;36;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game37;casino_game37;casino;rgpi;true;true;false;false;false;37;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game38;casino_game38;casino;rgpi;true;true;false;false;false;38;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game39;casino_game39;casino;rgpi;true;true;false;false;false;39;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game40;casino_game40;casino;rgpi;true;true;false;false;false;40;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game41;casino_game41;casino;rgpi;true;true;false;false;false;41;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game42;casino_game42;casino;rgpi;true;true;false;false;false;42;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game43;casino_game43;casino;rgpi;true;true;false;false;false;43;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game44;casino_game44;casino;rgpi;true;true;false;false;false;44;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game45;casino_game45;casino;rgpi;true;true;false;false;false;45;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game46;casino_game46;casino;rgpi;true;true;false;false;false;46;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game47;casino_game47;casino;rgpi;true;true;false;false;false;47;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game48;casino_game48;casino;rgpi;true;true;false;false;false;48;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game49;casino_game49;casino;rgpi;true;true;false;false;false;49;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game50;casino_game50;casino;rgpi;true;true;false;false;false;50;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
Casino game51;casino_game51;casino;rgpi;true;true;false;false;false;51;"[""desktop"", ""mobile"", ""tablet""]";"[""RU"", ""US"", ""GB""]";[];[]
